,Dates,Gold Price
0,2025-09-01,109590.91
1,2025-08-01,99696.47
2,2025-07-01,97581.22
3,2025-06-01,97175.81
4,2025-05-01,94589.81
5,2025-04-01,93091.21
6,2025-03-01,86890.11
7,2025-02-01,84995.47
8,2025-01-01,79079.0
9,2024-12-01,76195.05
10,2024-11-01,76220.94
11,2024-10-01,76713.09
12,2024-09-01,72877.62
13,2024-08-01,70440.71
14,2024-07-01,71188.55
15,2024-06-01,72014.0
16,2024-05-01,72134.95
17,2024-04-01,71353.0
18,2024-03-01,65229.0
19,2024-02-01,62017.33
20,2024-01-01,62322.43
21,2023-12-01,124345.9
22,2023-11-01,121571.9
23,2023-10-01,117546.4
24,2023-09-01,117485.0
25,2023-08-01,117475.9
26,2023-07-01,117843.42
27,2023-06-01,118112.76
28,2023-05-01,121165.54
29,2023-04-01,120290.48
30,2023-03-01,115027.34
31,2023-02-01,113291.2
32,2023-01-01,112492.66
33,2022-12-01,53940.82
34,2022-11-01,51873.62
35,2022-10-01,50506.0
36,2022-09-01,49913.55
37,2022-08-01,51639.15
38,2022-07-01,50784.33
39,2022-06-01,50804.23
40,2022-05-01,50879.43
41,2022-04-01,52022.53
42,2022-03-01,51750.29
43,2022-02-01,49254.0
44,2022-01-01,47960.25
45,2021-12-01,47889.83
46,2021-11-01,48192.85
47,2021-10-01,47218.79
48,2021-09-01,46584.14
49,2021-08-01,47108.95
50,2021-07-01,47763.52
51,2021-06-01,47890.86
52,2021-05-01,47860.25
53,2021-04-01,46517.21
54,2021-03-01,44648.0
55,2021-02-01,47107.0
56,2021-01-01,49612.0
57,2020-12-01,49443.86
58,2020-11-01,50428.65
59,2020-10-01,50697.85
60,2020-09-01,50783.64
61,2020-08-01,52917.19
62,2020-07-01,49878.43
63,2020-06-01,47314.73
64,2020-05-01,46343.28
65,2020-04-01,45504.44
66,2020-03-01,42285.33
67,2020-02-01,41195.21
68,2020-01-01,39983.83
69,2019-12-01,38091.57
70,2019-11-01,38122.2
71,2019-10-01,38213.55
72,2019-09-01,37926.74
73,2019-08-01,37356.15
74,2019-07-01,34522.26
75,2019-06-01,33121.26
76,2019-05-01,31737.55
77,2019-04-01,31659.26
78,2019-03-01,32036.32
79,2019-02-01,33216.5
80,2019-01-01,32230.0
81,2018-12-01,31250.5
82,2018-11-01,31010.37
83,2018-10-01,31489.29
84,2018-09-01,30537.78
85,2018-08-01,29644.29
86,2018-07-01,30097.05
87,2018-06-01,30707.14
88,2018-05-01,31116.14
89,2018-04-01,30985.5
90,2018-03-01,30419.72
91,2018-02-01,30391.32
92,2018-01-01,29854.32
93,2017-12-01,28763.42
94,2017-11-01,29399.09
95,2017-10-01,29505.3
96,2017-09-01,29899.29
97,2017-08-01,28893.24
98,2017-07-01,28170.48
99,2017-06-01,28823.1
100,2017-05-01,28471.36
101,2017-04-01,29010.28
102,2017-03-01,28758.18
103,2017-02-01,29264.74
104,2017-01-01,28745.95
105,2016-12-01,27754.29
106,2016-11-01,29796.43
107,2016-10-01,30071.37
108,2016-09-01,31178.0
109,2016-08-01,31270.0
110,2016-07-01,30941.75
111,2016-06-01,29745.45
112,2016-05-01,29639.09
113,2016-04-01,28818.16
114,2016-03-01,28794.25
115,2016-02-01,28251.67
116,2016-01-01,25997.5
117,2015-12-01,25207.38
118,2015-11-01,25648.39
119,2015-10-01,26576.59
120,2015-09-01,26245.83
121,2015-08-01,25728.54
122,2015-07-01,25539.38
123,2015-06-01,26645.96
124,2015-05-01,27093.04
125,2015-04-01,26682.61
126,2015-03-01,26167.83
127,2015-02-01,27075.48
128,2015-01-01,27403.27
129,2014-12-01,26678.27
130,2014-11-01,26115.0
131,2014-10-01,26990.73
132,2014-09-01,26962.6
133,2014-08-01,28079.57
134,2014-07-01,28007.59
135,2014-06-01,27427.4
136,2014-05-01,28738.0
137,2014-04-01,29328.91
138,2014-03-01,29831.88
139,2014-02-01,30210.68
140,2014-01-01,29581.85
141,2013-12-01,29904.2
142,2013-11-01,30739.6
143,2013-10-01,30709.63
144,2013-09-01,30473.04
145,2013-08-01,30216.3
146,2013-07-01,26928.15
147,2013-06-01,27178.13
148,2013-05-01,26768.65
149,2013-04-01,27742.6
150,2013-03-01,29513.75
151,2013-02-01,29963.48
152,2013-01-01,30520.19
